Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
Connecticut,2020,11,3/14/20,626.00,578.00,13.00,128.00,16.00,17.00,15.00,27.00,15.00,11.00,20.00,125.00,37.00,0.00,0.00
Connecticut,2020,12,3/21/20,660.00,605.00,10.00,150.00,18.00,14.00,14.00,25.00,12.00,10.00,11.00,141.00,33.00,11.00,10.00
Connecticut,2020,13,3/28/20,736.00,680.00,14.00,121.00,12.00,22.00,14.00,36.00,12.00,10.00,16.00,156.00,37.00,47.00,44.00
Connecticut,2020,14,4/4/20,880.00,815.00,14.00,121.00,14.00,27.00,21.00,25.00,12.00,11.00,19.00,152.00,29.00,211.00,205.00
Connecticut,2020,15,4/11/20,1257.00,1195.00,15.00,140.00,27.00,33.00,16.00,36.00,15.00,13.00,14.00,171.00,24.00,517.00,493.00
Connecticut,2020,16,4/18/20,1380.00,1326.00,14.00,125.00,18.00,25.00,11.00,20.00,19.00,17.00,20.00,170.00,27.00,677.00,650.00
Connecticut,2020,17,4/25/20,1336.00,1286.00,12.00,116.00,21.00,26.00,12.00,25.00,21.00,10.00,18.00,132.00,33.00,677.00,648.00
Connecticut,2020,18,5/2/20,1167.00,1119.00,,129.00,22.00,31.00,12.00,22.00,13.00,20.00,11.00,130.00,26.00,573.00,542.00
Connecticut,2020,19,5/9/20,1052.00,996.00,13.00,123.00,18.00,27.00,,19.00,22.00,,,120.00,27.00,468.00,443.00
Connecticut,2020,20,5/16/20,946.00,889.00,,118.00,15.00,19.00,,23.00,14.00,13.00,12.00,132.00,24.00,383.00,363.00
Connecticut,2020,21,5/23/20,815.00,766.00,,105.00,14.00,24.00,,27.00,18.00,10.00,10.00,117.00,26.00,284.00,256.00
Connecticut,2020,22,5/30/20,750.00,707.00,,116.00,12.00,21.00,,15.00,13.00,10.00,14.00,130.00,27.00,210.00,190.00
Connecticut,2020,23,6/6/20,659.00,607.00,13.00,107.00,13.00,22.00,10.00,25.00,17.00,,13.00,115.00,30.00,118.00,102.00
Connecticut,2020,24,6/13/20,630.00,562.00,,135.00,19.00,23.00,,15.00,,,,106.00,27.00,87.00,69.00
Connecticut,2020,25,6/20/20,573.00,520.00,,132.00,17.00,20.00,,15.00,12.00,,,105.00,25.00,44.00,35.00
Connecticut,2020,26,6/27/20,590.00,542.00,11.00,126.00,16.00,14.00,,21.00,,,,132.00,26.00,43.00,32.00
Connecticut,2020,27,7/4/20,544.00,494.00,,115.00,12.00,17.00,,21.00,,12.00,,126.00,21.00,23.00,17.00
Connecticut,2020,28,7/11/20,602.00,540.00,,137.00,11.00,17.00,,24.00,,,,134.00,18.00,25.00,17.00
Connecticut,2020,29,7/18/20,559.00,491.00,10.00,115.00,15.00,13.00,,21.00,16.00,,10.00,121.00,33.00,15.00,12.00
Connecticut,2020,30,7/25/20,580.00,525.00,,110.00,16.00,27.00,,22.00,,,,136.00,28.00,15.00,12.00
Connecticut,2020,31,8/1/20,545.00,474.00,,127.00,15.00,19.00,,12.00,,,11.00,123.00,23.00,10.00,
Connecticut,2020,32,8/8/20,585.00,518.00,,132.00,20.00,27.00,,18.00,10.00,,,123.00,29.00,,
Connecticut,2020,33,8/15/20,565.00,524.00,,131.00,16.00,18.00,,23.00,,,14.00,122.00,29.00,,
Connecticut,2020,34,8/22/20,558.00,505.00,,114.00,19.00,26.00,,25.00,,12.00,,109.00,23.00,,
Connecticut,2020,35,8/29/20,521.00,482.00,,116.00,13.00,18.00,,15.00,,,,103.00,28.00,,
Connecticut,2020,36,9/5/20,559.00,500.00,,116.00,16.00,25.00,13.00,15.00,,,10.00,107.00,26.00,,
Connecticut,2020,37,9/12/20,562.00,513.00,14.00,126.00,,14.00,13.00,19.00,10.00,,15.00,114.00,26.00,,
Connecticut,2020,38,9/19/20,570.00,514.00,11.00,126.00,14.00,15.00,,22.00,,12.00,10.00,119.00,23.00,12.00,11.00
Connecticut,2020,39,9/26/20,635.00,571.00,11.00,129.00,17.00,17.00,,34.00,,,13.00,145.00,38.00,,
Connecticut,2020,40,10/3/20,603.00,553.00,,144.00,17.00,27.00,,22.00,,11.00,17.00,117.00,25.00,16.00,16.00
Connecticut,2020,41,10/10/20,615.00,562.00,11.00,143.00,10.00,19.00,,14.00,14.00,13.00,27.00,119.00,31.00,15.00,12.00
Connecticut,2020,42,10/17/20,583.00,552.00,11.00,124.00,15.00,19.00,,16.00,10.00,14.00,22.00,123.00,33.00,29.00,27.00
Connecticut,2020,43,10/24/20,647.00,612.00,,136.00,18.00,25.00,,27.00,10.00,11.00,40.00,119.00,25.00,28.00,26.00
Connecticut,2020,44,10/31/20,583.00,558.00,12.00,117.00,17.00,12.00,,15.00,,19.00,39.00,110.00,24.00,54.00,47.00
Connecticut,2020,45,11/7/20,591.00,565.00,,118.00,17.00,15.00,,15.00,,,60.00,107.00,31.00,53.00,43.00
Connecticut,2020,46,11/14/20,602.00,576.00,,100.00,13.00,18.00,,17.00,12.00,15.00,47.00,114.00,24.00,71.00,59.00
Connecticut,2020,47,11/21/20,639.00,616.00,12.00,103.00,12.00,20.00,,15.00,,,54.00,111.00,21.00,115.00,107.00
Connecticut,2020,48,11/28/20,587.00,566.00,,100.00,,20.00,,13.00,,,44.00,103.00,22.00,131.00,120.00
Connecticut,2020,49,12/5/20,315.00,301.00,,35.00,,,,,,,23.00,39.00,,119.00,112.00
Connecticut,2020,50,12/12/20,139.00,134.00,,,,,,,,,22.00,12.00,,61.00,58.00
Connecticut,2020,51,12/19/20,103.00,101.00,,,,,0.00,0.00,,,15.00,14.00,,45.00,44.00
Connecticut,2020,52,12/26/20,45.00,44.00,,10.00,0.00,,0.00,,,0.00,,,,11.00,11.00
Connecticut,2020,53,1/2/21,13.00,13.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,0.00,,
Delaware,2019,1,1/5/19,185.00,171.00,,50.00,,,,11.00,,,,37.00,13.00,0.00,0.00
Delaware,2019,2,1/12/19,195.00,179.00,,42.00,,,,,,,,44.00,14.00,0.00,0.00
Delaware,2019,3,1/19/19,199.00,187.00,,46.00,,10.00,,12.00,,,0.00,40.00,12.00,0.00,0.00
Delaware,2019,4,1/26/19,186.00,165.00,,33.00,,,,21.00,0.00,,0.00,35.00,15.00,0.00,0.00
Delaware,2019,5,2/2/19,190.00,177.00,,40.00,,10.00,,11.00,,,,48.00,16.00,0.00,0.00
Delaware,2019,6,2/9/19,182.00,169.00,,34.00,,10.00,,12.00,,,0.00,45.00,,0.00,0.00
Delaware,2019,7,2/16/19,194.00,173.00,,41.00,,11.00,,11.00,,,0.00,41.00,10.00,0.00,0.00
Delaware,2019,8,2/23/19,187.00,173.00,,45.00,,,,11.00,,,0.00,40.00,,0.00,0.00
Delaware,2019,9,3/2/19,174.00,158.00,,38.00,,,,,,0.00,0.00,39.00,10.00,0.00,0.00
Delaware,2019,10,3/9/19,207.00,184.00,0.00,52.00,,,,10.00,,,,56.00,13.00,0.00,0.00
Delaware,2019,11,3/16/19,184.00,165.00,,38.00,,,,10.00,,,0.00,45.00,11.00,0.00,0.00
Delaware,2019,12,3/23/19,177.00,163.00,,45.00,,,,,,,,34.00,17.00,0.00,0.00
Delaware,2019,13,3/30/19,185.00,174.00,,34.00,,,,11.00,0.00,,,52.00,,0.00,0.00
Delaware,2019,14,4/6/19,163.00,147.00,,42.00,,,,,,,,30.00,13.00,0.00,0.00
Delaware,2019,15,4/13/19,147.00,140.00,,33.00,,,,,,,,32.00,10.00,0.00,0.00
Delaware,2019,16,4/20/19,183.00,163.00,,45.00,,,,,,,0.00,36.00,17.00,0.00,0.00
Delaware,2019,17,4/27/19,165.00,151.00,,35.00,0.00,,,,,,0.00,47.00,,0.00,0.00
Delaware,2019,18,5/4/19,149.00,132.00,,38.00,,,0.00,10.00,,,,29.00,10.00,0.00,0.00
Delaware,2019,19,5/11/19,159.00,140.00,,37.00,,,0.00,,,,,33.00,12.00,0.00,0.00
Delaware,2019,20,5/18/19,163.00,142.00,,30.00,,,,13.00,,,,31.00,12.00,0.00,0.00
Delaware,2019,21,5/25/19,181.00,161.00,,47.00,,,0.00,,,,,44.00,,0.00,0.00
Delaware,2019,22,6/1/19,195.00,172.00,,47.00,,,,14.00,,,0.00,36.00,15.00,0.00,0.00
Delaware,2019,23,6/8/19,158.00,143.00,,39.00,,,,13.00,,,,32.00,,0.00,0.00
Delaware,2019,24,6/15/19,172.00,155.00,,38.00,,,,,,,,32.00,16.00,0.00,0.00
Delaware,2019,25,6/22/19,177.00,155.00,,31.00,,,,11.00,,,,40.00,13.00,0.00,0.00
Delaware,2019,26,6/29/19,163.00,140.00,,32.00,,,,,,,,30.00,14.00,0.00,0.00
Delaware,2019,27,7/6/19,192.00,171.00,,58.00,,,,14.00,,,0.00,35.00,,0.00,0.00
Delaware,2019,28,7/13/19,180.00,162.00,,35.00,,,,,,,,39.00,15.00,0.00,0.00
Delaware,2019,29,7/20/19,182.00,157.00,0.00,49.00,,,,14.00,0.00,,0.00,29.00,,0.00,0.00
Delaware,2019,30,7/27/19,156.00,135.00,0.00,26.00,,,,,,,0.00,35.00,,0.00,0.00
Delaware,2019,31,8/3/19,164.00,147.00,0.00,30.00,,,,,,,0.00,39.00,16.00,0.00,0.00
Delaware,2019,32,8/10/19,185.00,163.00,,38.00,,13.00,,14.00,0.00,,,35.00,,0.00,0.00
Delaware,2019,33,8/17/19,192.00,168.00,,45.00,,,,,,,0.00,48.00,15.00,0.00,0.00
Delaware,2019,34,8/24/19,158.00,138.00,,29.00,,,,,,,,42.00,,0.00,0.00
Delaware,2019,35,8/31/19,176.00,151.00,,40.00,,,,,,,0.00,37.00,,0.00,0.00
Delaware,2019,36,9/7/19,175.00,161.00,0.00,53.00,,,,11.00,,,0.00,37.00,,0.00,0.00
Delaware,2019,37,9/14/19,190.00,172.00,,36.00,,,,17.00,,,0.00,44.00,11.00,0.00,0.00
Delaware,2019,38,9/21/19,179.00,164.00,,41.00,,,0.00,,,,0.00,50.00,11.00,0.00,0.00
Delaware,2019,39,9/28/19,183.00,159.00,,49.00,,,,,,,0.00,35.00,18.00,0.00,0.00
Delaware,2019,40,10/5/19,178.00,162.00,,41.00,,12.00,,,,,,36.00,,0.00,0.00
Delaware,2019,41,10/12/19,170.00,148.00,,40.00,,,,,,,,36.00,18.00,0.00,0.00
Delaware,2019,42,10/19/19,163.00,151.00,,38.00,,,,,,0.00,,37.00,10.00,0.00,0.00
Delaware,2019,43,10/26/19,170.00,148.00,,39.00,,,,11.00,,,,32.00,12.00,0.00,0.00
Delaware,2019,44,11/2/19,160.00,146.00,0.00,39.00,,,,,,,,35.00,,0.00,0.00
Delaware,2019,45,11/9/19,165.00,153.00,,45.00,11.00,,,,,,,36.00,,0.00,0.00
Delaware,2019,46,11/16/19,172.00,157.00,,38.00,,,,,,,,37.00,16.00,0.00,0.00
Delaware,2019,47,11/23/19,172.00,160.00,,42.00,,12.00,0.00,,,,0.00,34.00,16.00,0.00,0.00
Delaware,2019,48,11/30/19,180.00,159.00,0.00,32.00,,,,,,,,39.00,17.00,0.00,0.00
Delaware,2019,49,12/7/19,203.00,177.00,0.00,38.00,,,,,,,,50.00,20.00,0.00,0.00
Delaware,2019,50,12/14/19,202.00,185.00,0.00,35.00,,12.00,,,,,,38.00,17.00,0.00,0.00
Delaware,2019,51,12/21/19,179.00,161.00,0.00,41.00,,,,,,,,42.00,11.00,0.00,0.00
Delaware,2019,52,12/28/19,185.00,165.00,,35.00,,,,11.00,,,,46.00,,0.00,0.00
Delaware,2020,1,1/4/20,199.00,179.00,,37.00,,,,11.00,,,,50.00,14.00,0.00,0.00
Delaware,2020,2,1/11/20,194.00,171.00,0.00,33.00,,,,13.00,0.00,,,45.00,13.00,0.00,0.00
Delaware,2020,3,1/18/20,190.00,169.00,,25.00,,12.00,,13.00,0.00,,,44.00,,0.00,0.00
Delaware,2020,4,1/25/20,190.00,173.00,,37.00,,,,,,,,48.00,18.00,0.00,0.00
Delaware,2020,5,2/1/20,183.00,167.00,,34.00,,,,10.00,,,,35.00,10.00,0.00,0.00
Delaware,2020,6,2/8/20,191.00,169.00,,45.00,,,,10.00,,,,33.00,10.00,0.00,0.00
Delaware,2020,7,2/15/20,202.00,184.00,,55.00,,,,,,,,45.00,11.00,0.00,0.00
Delaware,2020,8,2/22/20,194.00,169.00,0.00,43.00,,,,,,,,43.00,15.00,0.00,0.00
Delaware,2020,9,2/29/20,164.00,148.00,,28.00,,,,14.00,,,,35.00,11.00,0.00,0.00
Delaware,2020,10,3/7/20,200.00,190.00,,37.00,,,,11.00,,12.00,,44.00,12.00,0.00,0.00
Delaware,2020,11,3/14/20,189.00,174.00,0.00,48.00,,11.00,,,,,,47.00,,0.00,0.00
Delaware,2020,12,3/21/20,221.00,195.00,,50.00,,,10.00,,,,,47.00,15.00,0.00,0.00
Delaware,2020,13,3/28/20,188.00,174.00,,36.00,,,,10.00,,,,37.00,15.00,,
Delaware,2020,14,4/4/20,215.00,197.00,,40.00,,,,12.00,0.00,,11.00,52.00,11.00,,
Delaware,2020,15,4/11/20,219.00,206.00,,46.00,,14.00,,12.00,,,,38.00,,24.00,24.00
Delaware,2020,16,4/18/20,228.00,214.00,,46.00,,,,10.00,,,,29.00,15.00,41.00,41.00
Delaware,2020,17,4/25/20,285.00,269.00,,42.00,,,,,,,,53.00,15.00,64.00,60.00
Delaware,2020,18,5/2/20,251.00,234.00,,32.00,,,,,,,,34.00,20.00,74.00,70.00
Delaware,2020,19,5/9/20,270.00,248.00,,35.00,,,,13.00,,,,40.00,,64.00,64.00
Delaware,2020,20,5/16/20,276.00,255.00,,40.00,,12.00,,,,,,39.00,13.00,75.00,74.00
Delaware,2020,21,5/23/20,222.00,213.00,0.00,44.00,,,,,,,0.00,45.00,13.00,49.00,42.00
Delaware,2020,22,5/30/20,226.00,204.00,,37.00,,,,,,,,39.00,16.00,49.00,46.00
Delaware,2020,23,6/6/20,181.00,154.00,,28.00,,,,,,,,28.00,14.00,23.00,21.00
Delaware,2020,24,6/13/20,200.00,178.00,,42.00,,10.00,,,0.00,,,35.00,15.00,20.00,16.00
Delaware,2020,25,6/20/20,161.00,142.00,,27.00,,,,13.00,,,,36.00,,,
Delaware,2020,26,6/27/20,200.00,183.00,,48.00,,,,,,,,40.00,12.00,,
Delaware,2020,27,7/4/20,201.00,175.00,0.00,39.00,,,,,,,,45.00,12.00,,
Delaware,2020,28,7/11/20,194.00,170.00,,36.00,,,,10.00,,,,48.00,14.00,,
Delaware,2020,29,7/18/20,191.00,177.00,,53.00,,,,,,,,45.00,16.00,,
Delaware,2020,30,7/25/20,199.00,177.00,,41.00,,,0.00,,,,,51.00,,,
Delaware,2020,31,8/1/20,195.00,174.00,,44.00,,,,,,,,45.00,17.00,,
Delaware,2020,32,8/8/20,197.00,178.00,,38.00,,13.00,,,,,,58.00,12.00,,
Delaware,2020,33,8/15/20,186.00,163.00,,37.00,,,,13.00,,,,40.00,16.00,,
Delaware,2020,34,8/22/20,194.00,176.00,0.00,49.00,10.00,,,,,,,34.00,11.00,,
Delaware,2020,35,8/29/20,189.00,171.00,0.00,43.00,,,,10.00,,,,42.00,17.00,,
Delaware,2020,36,9/5/20,206.00,180.00,,40.00,,,,,,,,51.00,16.00,,
Delaware,2020,37,9/12/20,198.00,181.00,,41.00,,10.00,,14.00,,,,41.00,16.00,,
Delaware,2020,38,9/19/20,161.00,143.00,,38.00,,,,,,,,26.00,13.00,,
Delaware,2020,39,9/26/20,200.00,187.00,0.00,36.00,,10.00,,,,,,41.00,22.00,,
Delaware,2020,40,10/3/20,199.00,182.00,,43.00,,12.00,,,,,,38.00,13.00,12.00,12.00
Delaware,2020,41,10/10/20,200.00,187.00,,50.00,,,,10.00,,,,31.00,16.00,12.00,12.00
Delaware,2020,42,10/17/20,196.00,181.00,,41.00,,,,,,,,35.00,18.00,14.00,13.00
Delaware,2020,43,10/24/20,206.00,195.00,,47.00,,,,,,,13.00,35.00,18.00,17.00,16.00
Delaware,2020,44,10/31/20,176.00,169.00,0.00,32.00,,,,,,,,40.00,14.00,20.00,18.00
Delaware,2020,45,11/7/20,176.00,162.00,0.00,32.00,,,,,,,13.00,35.00,14.00,12.00,12.00
Delaware,2020,46,11/14/20,148.00,139.00,,29.00,,,,,,,,21.00,,13.00,12.00
Delaware,2020,47,11/21/20,183.00,177.00,,39.00,0.00,10.00,,,,,15.00,34.00,16.00,13.00,13.00
Delaware,2020,48,11/28/20,141.00,132.00,0.00,25.00,,12.00,,,,,12.00,21.00,13.00,10.00,
Delaware,2020,49,12/5/20,161.00,159.00,,45.00,,,,10.00,,,12.00,31.00,11.00,12.00,11.00
Delaware,2020,50,12/12/20,177.00,167.00,,41.00,,10.00,,,,,11.00,24.00,,18.00,18.00
Delaware,2020,51,12/19/20,149.00,147.00,,21.00,,,,,0.00,0.00,,46.00,10.00,17.00,17.00
Delaware,2020,52,12/26/20,138.00,135.00,0.00,37.00,0.00,10.00,,,,,,17.00,13.00,15.00,15.00
Delaware,2020,53,1/2/21,103.00,102.00,,20.00,,,,,,,,25.00,,,
District of Columbia,2019,1,1/5/19,130.00,114.00,,24.00,,,,,0.00,0.00,0.00,35.00,,0.00,0.00
District of Columbia,2019,2,1/12/19,122.00,110.00,0.00,23.00,,0.00,,,,,0.00,41.00,,0.00,0.00
District of Columbia,2019,3,1/19/19,105.00,90.00,0.00,19.00,,,,,,0.00,,26.00,,0.00,0.00
District of Columbia,2019,4,1/26/19,116.00,105.00,0.00,20.00,,0.00,,,0.00,,,35.00,,0.00,0.00
District of Columbia,2019,5,2/2/19,124.00,111.00,,24.00,,,,,,0.00,0.00,29.00,,0.00,0.00
District of Columbia,2019,6,2/9/19,120.00,105.00,,21.00,,,0.00,,0.00,,0.00,32.00,10.00,0.00,0.00
District of Columbia,2019,7,2/16/19,114.00,100.00,,28.00,0.00,0.00,0.00,,,0.00,,24.00,12.00,0.00,0.00
District of Columbia,2019,8,2/23/19,113.00,100.00,0.00,25.00,,,,,0.00,,0.00,29.00,,0.00,0.00
District of Columbia,2019,9,3/2/19,106.00,95.00,0.00,34.00,,,,,,,0.00,17.00,,0.00,0.00
District of Columbia,2019,10,3/9/19,121.00,105.00,,19.00,0.00,,,,,0.00,,36.00,,0.00,0.00
District of Columbia,2019,11,3/16/19,121.00,111.00,,21.00,,,,,,,,35.00,11.00,0.00,0.00
District of Columbia,2019,12,3/23/19,104.00,86.00,,17.00,,,,,,,,20.00,,0.00,0.00
District of Columbia,2019,13,3/30/19,101.00,93.00,,28.00,,,0.00,,,,0.00,25.00,,0.00,0.00
District of Columbia,2019,14,4/6/19,111.00,99.00,,28.00,,,,,,,0.00,19.00,,0.00,0.00
District of Columbia,2019,15,4/13/19,104.00,94.00,0.00,21.00,,,,,,0.00,0.00,26.00,,0.00,0.00
District of Columbia,2019,16,4/20/19,113.00,94.00,,14.00,,,,,,0.00,0.00,34.00,,0.00,0.00
District of Columbia,2019,17,4/27/19,125.00,112.00,,26.00,0.00,,,,,,0.00,36.00,,0.00,0.00
District of Columbia,2019,18,5/4/19,115.00,95.00,,20.00,,,,,,,0.00,22.00,,0.00,0.00
District of Columbia,2019,19,5/11/19,107.00,93.00,,25.00,,0.00,,,0.00,0.00,0.00,23.00,11.00,0.00,0.00
District of Columbia,2019,20,5/18/19,88.00,79.00,,20.00,0.00,,0.00,,,,0.00,19.00,,0.00,0.00
District of Columbia,2019,21,5/25/19,110.00,96.00,,20.00,,,,,,,,26.00,,0.00,0.00
District of Columbia,2019,22,6/1/19,106.00,88.00,,14.00,,,0.00,0.00,0.00,,,27.00,,0.00,0.00
District of Columbia,2019,23,6/8/19,107.00,91.00,,18.00,,0.00,,,,0.00,0.00,27.00,,0.00,0.00
District of Columbia,2019,24,6/15/19,104.00,87.00,,28.00,,0.00,,,0.00,,,17.00,,0.00,0.00
District of Columbia,2019,25,6/22/19,117.00,104.00,,19.00,,,0.00,,,,,24.00,,0.00,0.00
District of Columbia,2019,26,6/29/19,91.00,77.00,0.00,21.00,,,,,0.00,,0.00,19.00,,0.00,0.00
District of Columbia,2019,27,7/6/19,99.00,84.00,,29.00,,,0.00,,0.00,0.00,0.00,22.00,,0.00,0.00
District of Columbia,2019,28,7/13/19,107.00,85.00,,18.00,,0.00,,0.00,,,,25.00,13.00,0.00,0.00
District of Columbia,2019,29,7/20/19,124.00,106.00,,28.00,,0.00,,,0.00,,0.00,30.00,,0.00,0.00
District of Columbia,2019,30,7/27/19,128.00,105.00,0.00,25.00,,0.00,,,,,,29.00,,0.00,0.00
District of Columbia,2019,31,8/3/19,92.00,80.00,0.00,19.00,0.00,0.00,0.00,,,,0.00,18.00,,0.00,0.00
District of Columbia,2019,32,8/10/19,109.00,90.00,0.00,27.00,,,0.00,,,,,26.00,,0.00,0.00
District of Columbia,2019,33,8/17/19,122.00,99.00,,31.00,0.00,,,,,,,24.00,,0.00,0.00
District of Columbia,2019,34,8/24/19,116.00,99.00,,23.00,,0.00,0.00,,0.00,0.00,0.00,36.00,,0.00,0.00
District of Columbia,2019,35,8/31/19,118.00,104.00,,29.00,,,,,,0.00,,25.00,,0.00,0.00
District of Columbia,2019,36,9/7/19,121.00,105.00,,28.00,,,,,,0.00,,24.00,,0.00,0.00
District of Columbia,2019,37,9/14/19,111.00,94.00,0.00,25.00,,,,,,,,18.00,,0.00,0.00
District of Columbia,2019,38,9/21/19,120.00,103.00,,27.00,,,,,,0.00,,35.00,10.00,0.00,0.00
District of Columbia,2019,39,9/28/19,116.00,98.00,0.00,27.00,,,0.00,,0.00,0.00,0.00,24.00,10.00,0.00,0.00
District of Columbia,2019,40,10/5/19,96.00,80.00,,19.00,,0.00,0.00,,,0.00,0.00,23.00,,0.00,0.00
District of Columbia,2019,41,10/12/19,127.00,110.00,,32.00,,0.00,,0.00,,,,23.00,,0.00,0.00
District of Columbia,2019,42,10/19/19,129.00,110.00,,18.00,,,,,,,0.00,37.00,12.00,0.00,0.00
District of Columbia,2019,43,10/26/19,130.00,109.00,,21.00,,0.00,,,,0.00,0.00,34.00,,0.00,0.00
District of Columbia,2019,44,11/2/19,138.00,120.00,,32.00,,,,,0.00,,0.00,25.00,10.00,0.00,0.00
District of Columbia,2019,45,11/9/19,140.00,122.00,,33.00,,0.00,,,0.00,0.00,,31.00,11.00,0.00,0.00
District of Columbia,2019,46,11/16/19,105.00,92.00,,21.00,,,,,,,0.00,21.00,,0.00,0.00
District of Columbia,2019,47,11/23/19,122.00,109.00,0.00,24.00,,,,,0.00,0.00,0.00,32.00,,0.00,0.00
District of Columbia,2019,48,11/30/19,119.00,96.00,0.00,18.00,,,0.00,,,,0.00,31.00,,0.00,0.00
District of Columbia,2019,49,12/7/19,136.00,111.00,,23.00,,,0.00,,,0.00,0.00,34.00,,0.00,0.00
District of Columbia,2019,50,12/14/19,123.00,107.00,,21.00,,,,,0.00,,0.00,24.00,,0.00,0.00
District of Columbia,2019,51,12/21/19,123.00,105.00,,22.00,,,,,,,,37.00,,0.00,0.00
District of Columbia,2019,52,12/28/19,156.00,133.00,,33.00,,,,,0.00,,,29.00,,0.00,0.00
District of Columbia,2020,1,1/4/20,132.00,109.00,,20.00,0.00,0.00,,,,0.00,0.00,33.00,,0.00,0.00
District of Columbia,2020,2,1/11/20,128.00,102.00,,21.00,,,,,0.00,0.00,,26.00,16.00,0.00,0.00
District of Columbia,2020,3,1/18/20,140.00,120.00,,28.00,,,,,0.00,,,33.00,11.00,0.00,0.00
District of Columbia,2020,4,1/25/20,131.00,115.00,,32.00,,,,,,,0.00,26.00,,0.00,0.00
District of Columbia,2020,5,2/1/20,143.00,117.00,,25.00,,,,,,0.00,,41.00,,0.00,0.00
District of Columbia,2020,6,2/8/20,131.00,112.00,,20.00,,,,,,,,33.00,,0.00,0.00
District of Columbia,2020,7,2/15/20,122.00,104.00,,18.00,,,,,0.00,,0.00,30.00,,0.00,0.00
District of Columbia,2020,8,2/22/20,104.00,89.00,,20.00,,,,0.00,,0.00,,23.00,,0.00,0.00
District of Columbia,2020,9,2/29/20,135.00,116.00,,25.00,,,0.00,,,,0.00,26.00,10.00,0.00,0.00
District of Columbia,2020,10,3/7/20,118.00,102.00,,23.00,,0.00,,,,,0.00,22.00,,0.00,0.00
District of Columbia,2020,11,3/14/20,114.00,101.00,0.00,32.00,,,,,,,0.00,20.00,,0.00,0.00
District of Columbia,2020,12,3/21/20,129.00,112.00,,29.00,,,,,0.00,,0.00,24.00,,,
District of Columbia,2020,13,3/28/20,130.00,115.00,,21.00,,,,,,0.00,,34.00,11.00,,
District of Columbia,2020,14,4/4/20,156.00,140.00,,22.00,,,0.00,,,0.00,,31.00,,25.00,25.00
District of Columbia,2020,15,4/11/20,193.00,172.00,,35.00,,,,,0.00,,,38.00,10.00,37.00,37.00
District of Columbia,2020,16,4/18/20,202.00,174.00,,22.00,,,,,,,,39.00,,59.00,59.00
District of Columbia,2020,17,4/25/20,242.00,222.00,,26.00,,,,,0.00,,,37.00,11.00,90.00,90.00
District of Columbia,2020,18,5/2/20,215.00,185.00,,25.00,,,,,0.00,,0.00,33.00,,75.00,75.00
District of Columbia,2020,19,5/9/20,214.00,188.00,,19.00,,,,,,,,28.00,,86.00,86.00
District of Columbia,2020,20,5/16/20,185.00,168.00,,16.00,,0.00,,,,,,22.00,,71.00,71.00
District of Columbia,2020,21,5/23/20,181.00,160.00,,31.00,,,,,,,,36.00,,49.00,46.00
District of Columbia,2020,22,5/30/20,169.00,144.00,,23.00,,0.00,,,,0.00,0.00,33.00,,42.00,42.00
District of Columbia,2020,23,6/6/20,149.00,132.00,,18.00,,0.00,,,,,0.00,27.00,,38.00,36.00
District of Columbia,2020,24,6/13/20,147.00,126.00,,17.00,0.00,,,,0.00,0.00,,30.00,10.00,30.00,30.00
District of Columbia,2020,25,6/20/20,132.00,118.00,,22.00,,,,,0.00,,,24.00,,28.00,25.00
District of Columbia,2020,26,6/27/20,129.00,104.00,,19.00,,,0.00,,,0.00,,24.00,,19.00,18.00
District of Columbia,2020,27,7/4/20,122.00,95.00,,18.00,,,0.00,,0.00,,0.00,21.00,,16.00,13.00
District of Columbia,2020,28,7/11/20,138.00,111.00,,27.00,,,,,,0.00,,28.00,,,
District of Columbia,2020,29,7/18/20,121.00,105.00,,23.00,,0.00,,,0.00,,0.00,26.00,,13.00,10.00
District of Columbia,2020,30,7/25/20,123.00,101.00,,24.00,,0.00,0.00,,,,,28.00,,,
District of Columbia,2020,31,8/1/20,130.00,116.00,0.00,24.00,,,,,0.00,,,36.00,12.00,10.00,
District of Columbia,2020,32,8/8/20,117.00,91.00,0.00,14.00,,,,,,0.00,,19.00,10.00,,
District of Columbia,2020,33,8/15/20,117.00,99.00,,22.00,,0.00,,,,,,23.00,,,
District of Columbia,2020,34,8/22/20,113.00,90.00,0.00,22.00,,,0.00,,,,,24.00,,11.00,10.00
District of Columbia,2020,35,8/29/20,139.00,117.00,,22.00,,,,,,,0.00,31.00,,,
District of Columbia,2020,36,9/5/20,140.00,114.00,,19.00,,,,,,,,31.00,,,
District of Columbia,2020,37,9/12/20,125.00,106.00,,22.00,,,,,0.00,0.00,,31.00,,,
