Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
02/01/2023,Alaska,2022,45,2022-11-12,110,96,0,25,,,0,,,,,25,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
02/01/2023,Alaska,2022,46,2022-11-19,91,81,,15,,,,10,,,0,19,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
02/01/2023,Alaska,2022,47,2022-11-26,80,75,0,15,,,,,,0,,22,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
02/01/2023,Alaska,2022,48,2022-12-03,80,77,0,24,,,,,0,0,0,13,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
02/01/2023,Alaska,2022,49,2022-12-10,111,111,,22,,,,,,,,19,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
02/01/2023,Alaska,2022,50,2022-12-17,83,77,,17,,,,,,0,,19,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
02/01/2023,Alaska,2022,51,2022-12-24,83,80,0,20,,,,,,0,,22,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
02/01/2023,Alaska,2022,52,2022-12-31,71,71,0,20,,,,,0,,,13,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
02/01/2023,Alaska,2023,1,2023-01-07,56,56,0,13,,,,,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
02/01/2023,Alaska,2023,2,2023-01-14,46,46,,14,,,0,,0,0,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
02/01/2023,Alaska,2023,3,2023-01-21,27,27,0,,0,,,,0,0,,,0,0,0,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
02/01/2023,Arizona,2020,1,2020-01-04,1301,1182,,248,47,66,30,90,17,11,17,314,55,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,2,2020-01-11,1391,1249,,277,57,67,26,85,20,19,21,299,64,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,3,2020-01-18,1315,1175,,265,45,65,31,75,30,20,14,275,66,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,4,2020-01-25,1275,1156,10,241,54,58,36,77,25,20,19,282,58,0,0,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,5,2020-02-01,1265,1131,,265,49,55,34,75,19,17,16,287,64,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,6,2020-02-08,1264,1137,,238,52,66,30,78,17,12,24,279,63,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,7,2020-02-15,1314,1191,,248,53,66,33,88,18,10,19,297,71,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,8,2020-02-22,1342,1184,,261,37,60,31,83,16,17,20,289,65,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,9,2020-02-29,1353,1197,,256,53,64,33,84,27,14,26,273,71,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,10,2020-03-07,1380,1235,12,256,44,67,29,79,30,16,23,312,73,0,0,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,11,2020-03-14,1349,1200,,255,46,64,32,102,27,17,22,295,72,,0,,,Suppressed (counts 1-9),,,,,,,,,,,Suppressed (counts 1-9),
02/01/2023,Arizona,2020,12,2020-03-21,1290,1157,,262,44,63,36,79,30,13,17,259,65,,,,,Suppressed (counts 1-9),,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
02/01/2023,Arizona,2020,13,2020-03-28,1324,1215,,262,52,66,37,81,20,20,19,277,61,31,29,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,14,2020-04-04,1357,1234,,258,41,66,25,79,26,15,18,256,57,58,55,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,15,2020-04-11,1403,1261,11,243,58,57,26,84,28,17,15,255,69,91,88,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,16,2020-04-18,1316,1192,10,255,38,70,22,74,13,21,12,248,48,96,87,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,17,2020-04-25,1384,1280,,266,39,76,18,64,24,15,19,283,63,106,99,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,18,2020-05-02,1404,1268,,240,57,57,24,75,14,17,17,318,75,106,96,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,19,2020-05-09,1427,1286,10,253,47,60,16,77,21,11,32,284,60,126,121,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,20,2020-05-16,1306,1156,,233,40,65,17,65,23,21,18,227,53,118,111,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,21,2020-05-23,1289,1140,10,238,54,79,15,59,22,12,11,233,67,99,90,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,22,2020-05-30,1310,1170,,244,47,43,17,74,22,19,19,249,60,116,101,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,23,2020-06-06,1399,1213,,253,39,64,16,62,14,12,11,270,60,132,127,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,24,2020-06-13,1463,1295,10,247,47,66,13,73,26,12,17,280,55,173,154,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,25,2020-06-20,1550,1389,13,263,56,71,12,82,29,13,18,262,64,207,193,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,26,2020-06-27,1617,1461,12,261,45,71,16,68,26,24,21,289,62,258,239,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,27,2020-07-04,1774,1611,,247,58,78,21,70,25,13,20,294,66,388,359,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,28,2020-07-11,1954,1776,12,250,68,76,34,81,39,13,27,313,62,508,479,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,29,2020-07-18,1995,1740,,237,47,78,29,69,27,17,22,318,58,548,509,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,30,2020-07-25,1863,1669,,263,52,85,16,61,21,11,29,292,58,477,450,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,31,2020-08-01,1792,1569,13,246,58,63,29,75,20,13,24,281,65,390,362,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,32,2020-08-08,1586,1388,,240,44,51,17,65,14,20,23,268,62,305,279,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,33,2020-08-15,1526,1360,,242,56,61,20,56,21,11,29,242,55,249,232,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,34,2020-08-22,1505,1299,,259,49,62,14,74,19,,26,272,59,174,155,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
02/01/2023,Arizona,2020,35,2020-08-29,1467,1271,,266,69,64,12,60,21,14,29,269,72,129,113,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,36,2020-09-05,1296,1128,,229,43,54,12,52,20,20,23,272,40,96,80,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,37,2020-09-12,1282,1122,10,243,42,45,14,55,26,15,19,259,58,61,56,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,38,2020-09-19,1259,1124,,238,43,54,14,57,,13,19,270,62,66,55,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
02/01/2023,Arizona,2020,39,2020-09-26,1285,1152,11,241,51,61,11,65,16,10,19,239,63,56,44,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,40,2020-10-03,1202,1047,,213,28,48,18,61,10,15,27,268,56,35,30,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,41,2020-10-10,1241,1098,,230,45,60,,58,22,18,12,225,56,53,47,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
02/01/2023,Arizona,2020,42,2020-10-17,1236,1094,19,221,40,43,12,61,21,18,19,261,67,47,39,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,43,2020-10-24,1282,1139,,247,45,52,18,58,17,16,20,254,65,63,57,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,44,2020-10-31,1312,1161,,233,40,48,12,66,20,11,18,261,60,82,71,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,45,2020-11-07,1399,1247,,243,45,61,12,63,16,12,23,290,56,125,102,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,46,2020-11-14,1252,1141,,225,39,61,14,54,13,11,11,255,48,124,113,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,47,2020-11-21,1525,1386,12,250,47,65,18,70,15,11,23,302,66,203,182,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,48,2020-11-28,1531,1399,,230,45,48,16,51,23,10,16,270,55,307,286,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,49,2020-12-05,1696,1574,10,223,76,51,19,68,23,10,19,285,61,416,387,,,,,,,,,,,,,,,
02/01/2023,Arizona,2020,50,2020-12-12,2004,1863,,247,65,78,27,84,26,14,24,309,77,574,526,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,51,2020-12-19,2098,1967,,248,56,64,34,75,22,21,20,303,72,734,682,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,52,2020-12-26,2205,2070,,264,50,76,26,91,26,17,32,319,78,765,708,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2020,53,2021-01-02,2302,2147,12,241,67,62,26,82,30,15,25,341,59,883,817,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,1,2021-01-09,2426,2264,10,263,78,78,22,79,34,20,21,352,54,942,891,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,2,2021-01-16,2466,2302,14,265,58,68,25,71,30,28,23,339,79,996,939,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,3,2021-01-23,2404,2248,12,251,54,72,30,75,24,19,24,329,84,959,894,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,4,2021-01-30,2083,1952,,249,58,56,27,67,24,14,21,325,54,776,717,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,5,2021-02-06,1995,1824,10,239,47,46,16,75,29,14,20,304,72,660,613,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,6,2021-02-13,1740,1595,15,234,40,60,19,61,27,18,16,291,61,505,458,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,7,2021-02-20,1552,1419,,246,47,42,17,70,17,19,16,262,55,338,306,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,8,2021-02-27,1516,1375,10,253,45,53,12,61,19,17,18,279,46,237,212,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,9,2021-03-06,1495,1355,13,248,44,50,17,81,12,24,18,301,65,184,158,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,10,2021-03-13,1412,1273,11,238,54,44,15,66,16,14,20,304,82,129,103,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,11,2021-03-20,1391,1241,,268,62,56,14,70,15,22,19,278,65,122,94,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,12,2021-03-27,1288,1144,11,236,47,55,10,65,22,,14,264,63,75,62,,,,,,,,,,Suppressed (counts 1-9),,,,,
02/01/2023,Arizona,2021,13,2021-04-03,1346,1179,13,252,47,55,,55,27,19,,286,74,56,48,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
02/01/2023,Arizona,2021,14,2021-04-10,1274,1122,11,247,36,53,18,68,16,17,13,256,55,64,53,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,15,2021-04-17,1319,1162,,284,49,36,16,64,11,16,11,261,76,57,46,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,16,2021-04-24,1250,1107,,259,52,43,20,52,27,20,16,234,56,43,38,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,17,2021-05-01,1279,1120,10,228,54,57,13,70,17,16,,267,52,54,47,,,,,,,,,,,Suppressed (counts 1-9),,,,
02/01/2023,Arizona,2021,18,2021-05-08,1414,1233,10,269,44,51,10,76,19,26,14,283,58,63,56,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,19,2021-05-15,1325,1153,,237,38,55,11,52,19,10,10,291,56,57,48,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,20,2021-05-22,1254,1113,,232,40,53,19,54,15,19,11,247,60,54,46,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,21,2021-05-29,1251,1082,,231,36,43,23,66,19,12,11,261,49,48,37,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,22,2021-06-05,1335,1131,10,233,47,41,10,76,26,11,17,235,57,41,35,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,23,2021-06-12,1302,1110,,254,33,50,13,61,17,12,12,242,60,35,27,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,24,2021-06-19,1356,1174,,234,54,50,15,65,23,16,17,281,61,44,33,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,25,2021-06-26,1388,1180,,263,44,36,12,82,15,11,20,290,66,46,40,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,26,2021-07-03,1328,1143,11,254,41,43,12,59,23,10,16,264,59,41,34,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,27,2021-07-10,1299,1089,,248,37,43,12,62,22,,23,263,50,41,35,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
02/01/2023,Arizona,2021,28,2021-07-17,1362,1153,10,253,41,39,12,55,16,17,16,262,77,56,50,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,29,2021-07-24,1258,1078,12,212,50,49,14,58,15,14,13,252,49,70,65,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,30,2021-07-31,1302,1155,11,266,43,30,20,59,15,20,17,252,54,110,101,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,31,2021-08-07,1507,1304,11,271,53,49,16,62,21,13,15,274,74,127,119,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,32,2021-08-14,1472,1281,,269,45,39,17,67,19,14,24,252,65,162,147,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,33,2021-08-21,1495,1329,,249,39,55,19,75,19,16,28,257,72,180,171,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,34,2021-08-28,1592,1399,,248,41,54,12,64,20,16,26,290,66,214,203,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,35,2021-09-04,1625,1447,16,232,60,70,18,80,23,16,26,280,61,274,253,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,36,2021-09-11,1616,1418,,244,48,62,11,64,22,14,30,263,52,281,265,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,37,2021-09-18,1617,1456,15,271,41,56,26,64,26,26,13,291,61,266,246,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,38,2021-09-25,1577,1420,12,256,42,57,19,60,14,10,15,288,64,286,272,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,39,2021-10-02,1616,1473,10,252,48,65,23,80,22,14,12,280,61,272,255,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,40,2021-10-09,1559,1405,,270,62,47,20,72,14,,22,262,55,245,231,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
02/01/2023,Arizona,2021,41,2021-10-16,1554,1414,,231,51,57,17,72,22,21,12,274,61,263,243,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,42,2021-10-23,1475,1302,,239,44,48,21,73,21,13,12,240,63,231,216,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,43,2021-10-30,1592,1436,11,243,52,51,16,62,23,17,22,277,57,279,258,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,44,2021-11-06,1573,1417,16,225,38,70,15,71,11,16,16,293,66,268,251,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,45,2021-11-13,1698,1559,13,260,52,58,19,83,23,21,13,308,55,353,322,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,46,2021-11-20,1769,1619,,230,53,52,28,76,25,28,20,321,86,380,344,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,47,2021-11-27,1814,1657,,247,52,59,28,73,20,16,14,319,73,450,428,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2021,48,2021-12-04,1848,1693,13,236,51,48,30,64,25,20,20,289,78,469,446,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,49,2021-12-11,1966,1809,17,241,71,47,17,86,27,19,19,312,79,542,510,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,50,2021-12-18,1861,1699,13,248,68,65,19,59,31,13,16,299,69,483,454,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,51,2021-12-25,1992,1821,12,281,53,75,44,83,23,23,16,341,64,482,447,,,,,,,,,,,,,,,
02/01/2023,Arizona,2021,52,2022-01-01,1876,1712,16,255,48,62,27,62,21,26,29,330,65,434,409,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,1,2022-01-08,2009,1838,10,262,81,59,36,88,25,29,32,341,72,428,393,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,2,2022-01-15,1864,1719,12,265,50,62,25,79,27,28,23,297,68,459,425,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,3,2022-01-22,1891,1754,21,225,59,64,23,83,27,26,25,313,75,500,436,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,4,2022-01-29,1982,1838,15,266,54,73,22,81,28,15,18,344,88,500,443,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,5,2022-02-05,1901,1728,10,246,61,55,29,81,33,18,13,323,60,492,417,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,6,2022-02-12,1863,1705,14,261,57,68,23,87,21,18,21,334,79,415,352,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,7,2022-02-19,1655,1510,10,267,59,42,17,82,26,14,19,278,63,312,270,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,8,2022-02-26,1551,1400,,240,53,51,18,81,21,15,18,290,66,232,193,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,9,2022-03-05,1511,1362,13,281,39,41,15,69,28,22,17,281,75,177,137,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,10,2022-03-12,1514,1346,15,274,60,48,16,86,25,20,11,299,66,131,101,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,11,2022-03-19,1472,1299,10,285,57,51,10,59,18,15,16,301,70,100,76,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,12,2022-03-26,1355,1205,15,249,45,45,15,68,23,18,17,272,62,67,43,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,13,2022-04-02,1326,1162,16,252,39,45,11,61,21,22,17,247,74,42,23,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,14,2022-04-09,1341,1183,11,281,41,56,21,65,21,,15,273,64,32,21,,,,,,,,,,Suppressed (counts 1-9),,,,,
02/01/2023,Arizona,2022,15,2022-04-16,1271,1122,,223,45,53,21,68,26,14,11,254,56,25,19,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,16,2022-04-23,1294,1151,,254,44,56,11,55,20,13,15,271,70,22,14,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,17,2022-04-30,1355,1189,,276,40,47,19,59,20,16,22,292,67,29,20,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,18,2022-05-07,1299,1146,,239,43,61,19,66,21,16,22,249,64,23,12,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,19,2022-05-14,1318,1151,,245,51,54,24,62,21,19,15,262,54,25,20,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,20,2022-05-21,1342,1183,,251,40,49,16,65,34,14,16,281,71,34,17,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,21,2022-05-28,1313,1157,,264,47,47,20,65,18,19,16,268,45,32,17,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,22,2022-06-04,1315,1165,,255,38,53,15,61,19,17,25,267,58,38,29,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,23,2022-06-11,1317,1132,10,234,44,66,18,50,24,13,13,291,65,38,27,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,24,2022-06-18,1441,1222,,272,51,47,20,67,15,13,16,280,56,65,48,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,25,2022-06-25,1210,1055,,215,45,43,15,50,21,14,17,251,53,54,35,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,26,2022-07-02,1258,1073,12,240,35,46,24,47,18,12,12,247,57,57,41,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,27,2022-07-09,1331,1130,10,267,40,44,,52,17,14,22,264,53,46,36,,,,,,,Suppressed (counts 1-9),,,,,,,,
02/01/2023,Arizona,2022,28,2022-07-16,1461,1195,,252,48,48,11,60,16,13,18,302,68,55,38,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,29,2022-07-23,1449,1188,,240,49,51,,67,17,15,21,288,75,63,44,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
02/01/2023,Arizona,2022,30,2022-07-30,1345,1155,10,241,40,59,14,61,26,17,,275,58,71,44,,,,,,,,,,,Suppressed (counts 1-9),,,,
02/01/2023,Arizona,2022,31,2022-08-06,1320,1116,,246,41,55,18,67,18,16,18,265,41,48,28,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,32,2022-08-13,1322,1131,,250,36,47,19,53,22,,23,264,54,55,37,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
02/01/2023,Arizona,2022,33,2022-08-20,1269,1118,,258,46,53,17,49,11,16,21,271,66,45,24,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,34,2022-08-27,1254,1090,,236,40,47,12,66,18,15,10,261,68,31,17,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,35,2022-09-03,1344,1173,,258,38,53,,78,19,16,21,271,57,49,36,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
02/01/2023,Arizona,2022,36,2022-09-10,1288,1103,,229,39,53,14,71,19,17,20,260,64,33,19,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,37,2022-09-17,1229,1088,13,260,33,47,20,60,24,,13,261,49,38,24,,,,,,,,,,Suppressed (counts 1-9),,,,,
02/01/2023,Arizona,2022,38,2022-09-24,1288,1111,,242,37,54,,59,22,20,23,257,53,34,22,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
02/01/2023,Arizona,2022,39,2022-10-01,1266,1122,,258,39,55,16,59,15,15,20,266,57,40,22,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,40,2022-10-08,1290,1152,,265,39,57,13,53,15,12,20,256,64,25,17,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,41,2022-10-15,1244,1104,10,266,37,45,12,63,15,,32,265,55,27,21,,,,,,,,,,Suppressed (counts 1-9),,,,,
02/01/2023,Arizona,2022,42,2022-10-22,1254,1115,13,217,43,55,11,72,13,14,37,274,71,25,16,,,,,,,,,,,,,,,
02/01/2023,Arizona,2022,43,2022-10-29,1321,1184,,243,44,67,17,63,17,13,54,297,61,34,19,,,Suppressed (counts 1-9),,,,,,,,,,,,
02/01/2023,Arizona,2022,44,2022-11-05,1403,1289,,269,49,53,20,82,22,16,42,281,86,44,31,,,Suppressed (counts 1-9),,,,,,,,,,,,
