region,age,population
Iowa,85+ years,91308
Kansas,0-4 years,199315
Kansas,5-9 years,199732
Kansas,10-14 years,197731
Kansas,15-19 years,194390
Kansas,20-24 years,181390
Kansas,25-29 years,179141
Kansas,30-34 years,186784
Kansas,35-39 years,191536
Kansas,40-44 years,183883
Kansas,45-49 years,169928
Kansas,50-54 years,166126
Kansas,55-59 years,183259
Kansas,60-64 years ,177432
Kansas,65-69 years,150876
Kansas,70-74 years,119086
Kansas,75-79 years,80882
Kansas,80-84 years,55866
Kansas,85+ years,73209
Kentucky,0-4 years,272694
Kentucky,5-9 years,276512
Kentucky,10-14 years,282709
Kentucky,15-19 years,292391
Kentucky,20-24 years,278441
Kentucky,25-29 years,281541
Kentucky,30-34 years,278787
Kentucky,35-39 years,283865
Kentucky,40-44 years,284709
Kentucky,45-49 years,280311
Kentucky,50-54 years,284993
Kentucky,55-59 years,306788
Kentucky,60-64 years ,290949
Kentucky,65-69 years,245502
Kentucky,70-74 years,194705
Kentucky,75-79 years,125547
Kentucky,80-84 years,80724
Kentucky,85+ years,83263
Louisiana,0-4 years,317925
Louisiana,5-9 years,323292
Louisiana,10-14 years,330002
Louisiana,15-19 years,330334
Louisiana,20-24 years,294951
Louisiana,25-29 years,299828
Louisiana,30-34 years,305937
Louisiana,35-39 years,316963
Louisiana,40-44 years,291636
Louisiana,45-49 years,269185
Louisiana,50-54 years,276568
Louisiana,55-59 years,302399
Louisiana,60-64 years ,296672
Louisiana,65-69 years,251419
Louisiana,70-74 years,195888
Louisiana,75-79 years,130814
Louisiana,80-84 years,86272
Louisiana,85+ years,99075
Maine,0-4 years,71599
Maine,5-9 years,78104
Maine,10-14 years,77161
Maine,15-19 years,67730
Maine,20-24 years,63766
Maine,25-29 years,75956
Maine,30-34 years,92700
Maine,35-39 years,102852
Maine,40-44 years,88951
Maine,45-49 years,84980
Maine,50-54 years,94159
Maine,55-59 years,108249
Maine,60-64 years ,108468
Maine,65-69 years,94589
Maine,70-74 years,77023
Maine,75-79 years,50262
Maine,80-84 years,32338
Maine,85+ years,39778
Maryland,0-4 years,467825
Maryland,5-9 years,457095
Maryland,10-14 years,422595
Maryland,15-19 years,398347
Maryland,20-24 years,403475
Maryland,25-29 years,471887
Maryland,30-34 years,497594
Maryland,35-39 years,464155
Maryland,40-44 years,389260
Maryland,45-49 years,371568
Maryland,50-54 years,401325
Maryland,55-59 years,418359
Maryland,60-64 years ,371981
Maryland,65-69 years,299689
Maryland,70-74 years,249506
Maryland,75-79 years,172207
Maryland,80-84 years,111656
Maryland,85+ years,129102
Massachusetts,0-4 years,422287
Massachusetts,5-9 years,405553
Massachusetts,10-14 years,406972
Massachusetts,15-19 years,437778
Massachusetts,20-24 years,438053
Massachusetts,25-29 years,471269
Massachusetts,30-34 years,466135
Massachusetts,35-39 years,426950
Massachusetts,40-44 years,411448
Massachusetts,45-49 years,424953
Massachusetts,50-54 years,464825
Massachusetts,55-59 years,482494
Massachusetts,60-64 years ,437012
Massachusetts,65-69 years,358945
Massachusetts,70-74 years,297710
Massachusetts,75-79 years,201035
Massachusetts,80-84 years,130140
Massachusetts,85+ years,171987
Michigan,0-4 years,686660
Michigan,5-9 years,703831
Michigan,10-14 years,692774
Michigan,15-19 years,661584
Michigan,20-24 years,647637
Michigan,25-29 years,703216
Michigan,30-34 years,726266
Michigan,35-39 years,732024
Michigan,40-44 years,694154
Michigan,45-49 years,676893
Michigan,50-54 years,689519
Michigan,55-59 years,702910
Michigan,60-64 years ,667049
Michigan,65-69 years,552693
Michigan,70-74 years,438035
Michigan,75-79 years,297185
Michigan,80-84 years,191758
Michigan,85+ years,231805
Minnesota,0-4 years,408562
Minnesota,5-9 years,406846
Minnesota,10-14 years,384255
Minnesota,15-19 years,360443
Minnesota,20-24 years,359483
Minnesota,25-29 years,392389
Minnesota,30-34 years,420362
Minnesota,35-39 years,431589
Minnesota,40-44 years,377170
Minnesota,45-49 years,346513
Minnesota,50-54 years,357642
Minnesota,55-59 years,385108
Minnesota,60-64 years ,360457
Minnesota,65-69 years,295322
Minnesota,70-74 years,227730
Minnesota,75-79 years,152955
Minnesota,80-84 years,103279
Minnesota,85+ years,130664
Mississippi,0-4 years,194779
Mississippi,5-9 years,200942
Mississippi,10-14 years,211326
Mississippi,15-19 years,214404
Mississippi,20-24 years,183072
Mississippi,25-29 years,177077
Mississippi,30-34 years,175699
Mississippi,35-39 years,191046
Mississippi,40-44 years,196978
Mississippi,45-49 years,192509
Mississippi,50-54 years,192437
Mississippi,55-59 years,210908
Mississippi,60-64 years ,204445
Mississippi,65-69 years,170187
Mississippi,70-74 years,131955
Mississippi,75-79 years,84058
Mississippi,80-84 years,54360
Mississippi,85+ years,58630
Missouri,0-4 years,400390
Missouri,5-9 years,409245
